,genus,species,motility,gram stain,range,optimum
0,Acidisarcina,Acidisarcina polymorpha,,,,
1,Acidobacterium,Acidobacterium ailaaui,no,negative,40,40
2,Acidobacterium,Acidobacterium capsulatum,,,,
3,Acidobacterium,Acidobacterium sp.,,,,
4,Acidobacterium,Acidobacterium sp.,,,,
5,Acidobacterium,Acidobacterium sp.,,,,
6,Acidobacterium,Acidobacterium capsulatum,,,30,
7,Alloacidobacterium,Alloacidobacterium dinghuense,,,,
8,Edaphobacter,Edaphobacter bradus,"['no', 'no']","['negative', 'negative']",28,28
9,Edaphobacter,Edaphobacter lichenicola,no,negative,7-37,20-30
10,Edaphobacter,Edaphobacter acidisoli,no,negative,10-42,28
11,Edaphobacter,Edaphobacter dinghuensis,no,negative,28,28-33
12,Edaphobacter,Edaphobacter aggregans,no,negative,15-25,30
13,Edaphobacter,Edaphobacter modestus,,,25,30
14,Granulicella,Granulicella sibirica,no,negative,2-30,
15,Granulicella,Granulicella acidiphila,,,,
16,Granulicella,Granulicella cerasi,,,,
17,Granulicella,Granulicella tundricola,"['no', 'no']","['negative', 'negative']",4-28,21-24
18,Granulicella,Granulicella sapmiensis,no,negative,4-26,22.5
19,Granulicella,Granulicella mallensis,"['no', 'no']","['negative', 'negative']",4-28,24-27
20,Granulicella,Granulicella arctica,no,negative,4-28,22.5
21,Granulicella,Granulicella paludicola,no,negative,2.0-33.0,18.0-22.0
22,Granulicella,Granulicella aggregans,no,negative,2.0-33.0,18.0-22.0
23,Granulicella,Granulicella pectinivorans,no,negative,2.0-33.0,18.0-22.0
24,Granulicella,Granulicella rosea,no,negative,2.0-33.0,18.0-22.0
25,Occallatibacter,Occallatibacter savannae,yes,negative,28,29-40
26,Occallatibacter,Occallatibacter riparius,,,,
27,Occallatibacter,Occallatibacter riparius,yes,negative,28,26-37
28,Terriglobus,Terriglobus sp.,,,,
29,Terriglobus,Terriglobus albidus,,,,
30,Terriglobus,Terriglobus aquaticus,['no'],"['negative', 'negative']",25,25
31,Terriglobus,Terriglobus tenax,,,,
32,Terriglobus,Terriglobus sp.,,,,
33,Terriglobus,Terriglobus saanensis,no,negative,4.0,25.0
34,Terriglobus,Terriglobus roseus,no,,12-23,
35,Paludibaculum,Paludibaculum fermentans,,,,
36,Chloracidobacterium,Chloracidobacterium thermophilum,,,,
37,Thermotomaculum,Thermotomaculum hydrothermale,,,55,
38,Luteitalea,Luteitalea pratensis,no,negative,28,20-30
39,Aquifex,Aquifex sp.,,,,
40,Aquifex,Aquifex pyrophilus,,,85,
41,Hydrogenobacter,Hydrogenobacter halophilus,,,,
42,Hydrogenobacter,Hydrogenobacter sp.,,,,
43,Hydrogenobacter,Hydrogenobacter subterraneus,,,,
44,Hydrogenobacter,Hydrogenobacter thermophilus,no,negative,70,70-75
45,Hydrogenobacter,Hydrogenobacter hydrogenophilus,,,75,
46,Hydrogenobaculum,Hydrogenobaculum acidophilum,,,65,
47,Thermocrinis,Thermocrinis jamiesonii,,,80,
48,Thermocrinis,Thermocrinis minervae,yes,negative,65-85,75
49,Thermocrinis,Thermocrinis albus,,,80,
50,Thermocrinis,Thermocrinis ruber,,,,
51,Thermocrinis,Thermocrinis albus,,,,
52,Thermosulfidibacter,Thermosulfidibacter takaii,yes,negative,70,70
53,Persephonella,Persephonella atlantica,,,,
54,Persephonella,Persephonella hydrogeniphila,,,70,
55,Persephonella,Persephonella marina,yes,negative,70,73
56,Sulfurihydrogenibium,Sulfurihydrogenibium yellowstonense,,,,
57,Sulfurihydrogenibium,Sulfurihydrogenibium kristjanssonii,yes,negative,40-73,68
58,Sulfurihydrogenibium,Sulfurihydrogenibium rodmanii,yes,negative,55-80,75
59,Sulfurihydrogenibium,Sulfurihydrogenibium azorense,yes,negative,50-73,68
60,Sulfurihydrogenibium,Sulfurihydrogenibium subterraneum,,,62,
61,Desulfurobacterium,Desulfurobacterium crinifex,,,,
62,Desulfurobacterium,Desulfurobacterium thermolithotrophum,,,,
63,Desulfurobacterium,Desulfurobacterium indicum,yes,negative,65,65
64,Desulfurobacterium,Desulfurobacterium pacificum,,,75,
65,Desulfurobacterium,Desulfurobacterium atlanticum,,,,
66,Desulfurobacterium,Desulfurobacterium crinifex,,,,
67,Desulfurobacterium,Desulfurobacterium thermolithotrophum,,,,
68,Thermovibrio,Thermovibrio guaymasensis,,,75,
69,Thermovibrio,Thermovibrio ammonificans,yes,negative,75,75
70,Thermovibrio,Thermovibrio ruber,,,75,
71,Atribacter,Atribacter laminatus,,,,
72,Caldisericum,Caldisericum exile,yes,negative,55-70,65
73,Caldithrix,Caldithrix palaeochoryensis,yes,,40-65,60
74,Caldithrix,Caldithrix abyssi,,,,
75,Desulfurispirillum,Desulfurispirillum indicum,yes,negative,28,28.0
76,Desulfurispirillum,Desulfurispirillum alkaliphilum,,,30,
77,Calditerrivibrio,Calditerrivibrio nitroreducens,yes,negative,30-65,55
78,Deferribacter,Deferribacter autotrophicus,yes,negative,25-75,60
79,Deferribacter,Deferribacter abyssi,,,60,
80,Deferribacter,Deferribacter abyssi,,,,
81,Deferribacter,Deferribacter thermophilus,,,,
82,Deferribacter,Deferribacter desulfuricans,no,negative,62,60.0-65.0
83,Flexistipes,Flexistipes sinusarabici,,,,
84,Denitrovibrio,Denitrovibrio acetiphilus,,,,
85,Geovibrio,Geovibrio ferrireducens,,,,
86,Geovibrio,Geovibrio thiophilus,,,,
87,Mucispirillum,Mucispirillum schaedleri,,,,
88,Mucispirillum,Mucispirillum schaedleri,yes,negative,,
89,Dictyoglomus,Dictyoglomus sp.,,,,
90,Dictyoglomus,Dictyoglomus turgidum,,negative,80,72
91,Dictyoglomus,Dictyoglomus thermophilum,no,negative,70,73-78
92,Elusimicrobium,Elusimicrobium minutum,,,,
93,Endomicrobium,Endomicrobium proavitum,,,30,
94,Salinibacter,Salinibacter altiplanensis,,,,
95,Salinibacter,Salinibacter sp.,,,,
96,Salinibacter,Salinibacter ruber,,,37,
97,Rhodothermus,Rhodothermus bifroesti,,,,
98,Rhodothermus,Rhodothermus marinus,,,,
99,Rhodothermus,Rhodothermus marinus,,,,
100,Rhodothermus,Rhodothermus marinus,,,,
101,Rhodothermus,Rhodothermus sp.,,,,
102,Rhodothermus,Rhodothermus sp.,,,70,
103,Rhodothermus,Rhodothermus profundi,no,negative,70,70
104,Rhodothermus,Rhodothermus marinus,,,70,
105,Rhodothermus,Rhodothermus marinus,,,,
106,Rhodothermus,Rhodothermus marinus,,,,
107,Bacteroides,Bacteroides sp.,,,,
108,Bacteroides,Bacteroides sp.,,,,
109,Bacteroides,Bacteroides uniformis,,,,
110,Bacteroides,Bacteroides cellulosilyticus,,,,
111,Bacteroides,Bacteroides pyogenes,,,,
112,Bacteroides,Bacteroides cellulosilyticus,,,,
113,Bacteroides,Bacteroides pyogenes,,,,
114,Bacteroides,Bacteroides ovatus,,,,
115,Bacteroides,Bacteroides pyogenes,,,,
116,Bacteroides,Bacteroides cellulosilyticus,,,,
117,Bacteroides,Bacteroides fragilis,,,,
118,Bacteroides,Bacteroides finegoldii,,,,
119,Bacteroides,Bacteroides sp.,,,,
120,Bacteroides,Bacteroides uniformis,,,,
121,Bacteroides,Bacteroides fragilis,,,,
122,Bacteroides,Bacteroides xylanisolvens,,,,
123,Bacteroides,Bacteroides thetaiotaomicron,,,,
124,Bacteroides,Bacteroides stercoris,,,,
125,Bacteroides,Bacteroides uniformis,,,,
126,Bacteroides,Bacteroides ovatus,,,,
127,Bacteroides,Bacteroides ovatus,,,,
128,Bacteroides,Bacteroides ovatus,,,,
129,Bacteroides,Bacteroides thetaiotaomicron,,,,
130,Bacteroides,Bacteroides ovatus,,,,
131,Bacteroides,Bacteroides thetaiotaomicron,,,,
132,Bacteroides,Bacteroides fragilis,,,,
133,Bacteroides,Bacteroides fragilis,,,,
134,Bacteroides,Bacteroides fragilis,,,,
135,Bacteroides,Bacteroides sp.,,,,
136,Bacteroides,Bacteroides fragilis,,,,
137,Bacteroides,Bacteroides fragilis,,,,
138,Bacteroides,Bacteroides uniformis,,,,
139,Bacteroides,Bacteroides ovatus,,,,
140,Bacteroides,Bacteroides ovatus,,,,
141,Bacteroides,Bacteroides fragilis,,,,
142,Bacteroides,Bacteroides thetaiotaomicron,,,,
143,Bacteroides,Bacteroides fragilis,,,,
144,Bacteroides,Bacteroides uniformis,,,,
145,Bacteroides,Bacteroides sp.,,,,
146,Bacteroides,Bacteroides zoogleoformans,,,37,
147,Bacteroides,Bacteroides caccae,,,,
148,Bacteroides,Bacteroides caccae,,,,
149,Bacteroides,Bacteroides gallinaceus,no,negative,,
150,Bacteroides,Bacteroides caecicola,no,negative,20-45,30-37
151,Bacteroides,Bacteroides reticulotermitis,,,,
152,Bacteroides,Bacteroides nordii,,,37,
153,Bacteroides,Bacteroides fragilis,,,,
154,Bacteroides,Bacteroides fragilis,,,,
155,Bacteroides,Bacteroides fragilis,,,,
156,Bacteroides,Bacteroides fragilis,,,,
157,Bacteroides,Bacteroides fragilis,,,,
158,Bacteroides,Bacteroides fragilis,,,,
159,Bacteroides,Bacteroides fragilis,,,,
160,Bacteroides,Bacteroides ovatus,,,,
161,Bacteroides,Bacteroides fragilis,,,37,
162,Bacteroides,Bacteroides reticulotermitis,no,negative,37,37
163,Bacteroides,Bacteroides cellulolyticus,,,,
164,Bacteroides,Bacteroides caecimuris,,['negative'],37,
165,Bacteroides,Bacteroides stercorirosoris,no,negative,37,37
166,Bacteroides,Bacteroides xylanisolvens,,,,
167,Bacteroides,Bacteroides acidifaciens,,,,
168,Bacteroides,Bacteroides neonati,,,,
169,Bacteroides,Bacteroides luti,,,37,
170,Bacteroides,Bacteroides faecichinchillae,no,negative,37,37
171,Bacteroides,Bacteroides rodentium,,,37,
172,Bacteroides,Bacteroides heparinolyticus,,,37,
173,Bacteroides,Bacteroides faecis,"['no', 'no']","['negative', 'negative']",37,37
174,Bacteroides,Bacteroides oleiciplenus,no,negative,37,37
175,Bacteroides,Bacteroides fluxus,no,negative,37,37
176,Bacteroides,Bacteroides clarus,no,negative,37,37
177,Bacteroides,Bacteroides xylanisolvens,"['no', 'no']","['negative', 'negative', 'negative']",37,38
178,Bacteroides,Bacteroides graminisolvens,no,negative,30,33
179,Bacteroides,Bacteroides cellulosilyticus,"['no', 'no']","['negative', 'negative']",37,37
180,Bacteroides,Bacteroides propionicifaciens,no,negative,30,30
181,Bacteroides,Bacteroides propionicifaciens,,,,
182,Bacteroides,Bacteroides salyersiae,,,37,
183,Bacteroides,Bacteroides stercoris,,,37,
184,Bacteroides,Bacteroides caccae,,['negative'],37,
185,Bacteroides,Bacteroides gallinarum,,,37,
186,Bacteroides,Bacteroides coprosuis,no,negative,37,37
187,Bacteroides,Bacteroides finegoldii,no,negative,37,37
188,Bacteroides,Bacteroides intestinalis,no,negative,37,37
189,Bacteroides,Bacteroides acidifaciens,,,37,
190,Bacteroides,Bacteroides uniformis,,,,
191,Bacteroides,Bacteroides uniformis,['no'],"['negative', 'negative']",37,
192,Bacteroides,Bacteroides thetaiotaomicron,,,,
193,Bacteroides,Bacteroides thetaiotaomicron,,,37,
194,Bacteroides,Bacteroides sp.,,,,
195,Bacteroides,Bacteroides pyogenes,,,37,
196,Bacteroides,Bacteroides pyogenes,,,37,
197,Bacteroides,Bacteroides pyogenes,,,37,
198,Bacteroides,Bacteroides ovatus,,,37,
199,Bacteroides,Bacteroides helcogenes,,,37,
200,Bacteroides,Bacteroides galacturonicus,,,,
201,Bacteroides,Bacteroides fragilis,,,,
202,Bacteroides,Bacteroides fragilis,,,,
203,Bacteroides,Bacteroides fragilis,,,,
204,Bacteroides,Bacteroides fragilis,,,37,
205,Bacteroides,Bacteroides fragilis,,,37,
206,Bacteroides,Bacteroides eggerthii,,,37,
207,Bacteroides,Bacteroides propionicigenes,,,,
208,Bacteroides,Bacteroides parvus,,,,
209,Bacteroides,Bacteroides hominis,,,,
210,Bacteroides,Bacteroides facilis,,,,
211,Bacteroides,Bacteroides faecichinchillae,,,,
212,Bacteroides,Bacteroides xylanisolvens,,,,
213,Bacteroides,Bacteroides mediterraneensis,,,,
214,Bacteroides,Bacteroides ndongoniae,,,,
215,Bacteroides,Bacteroides uniformis,,,,
216,Bacteroides,Bacteroides thetaiotaomicron,,,,
217,Bacteroides,Bacteroides sp.,,,,
218,Bacteroides,Bacteroides sp.,,,,
219,Bacteroides,Bacteroides sp.,,,,
220,Bacteroides,Bacteroides sp.,,,,
221,Bacteroides,Bacteroides sp.,,,,
222,Bacteroides,Bacteroides sp.,,,,
223,Bacteroides,Bacteroides sp.,,,,
224,Bacteroides,Bacteroides sp.,,,,
225,Bacteroides,Bacteroides caecigallinarum,,,,
226,Bacteroides,Bacteroides sedimenti,,,,
227,Bacteroides,Bacteroides zhangwenhongii,,,,
228,Bacteroides,Bacteroides luhongzhouii,,,,
229,Bacteroides,Bacteroides cellulosilyticus,,,,
230,Bacteroides,Bacteroides sp.,,,,
231,Bacteroides,Bacteroides fragilis,,,,
232,Bacteroides,Bacteroides fragilis,,,,
233,Bacteroides,Bacteroides fragilis,,,,
234,Bacteroides,Bacteroides stercorirosoris,,,,
235,Bacteroides,Bacteroides faecis,,,,
236,Bacteroides,Bacteroides propionicifaciens,,,,
237,Bacteroides,Bacteroides gallinarum,,,,
238,Bacteroides,Bacteroides uniformis,,,,
239,Bacteroides,Bacteroides uniformis,,,,
240,Bacteroides,Bacteroides uniformis,,,,
241,Bacteroides,Bacteroides intestinalis,,,,
242,Bacteroides,Bacteroides togonis,,,,
243,Bacteroides,Bacteroides bouchesdurhonensis,,,,
244,Bacteroides,Bacteroides fragilis,,,,
245,Bacteroides,Bacteroides fragilis,,,,
246,Bacteroides,Bacteroides salyersiae,,,,
247,Bacteroides,Bacteroides caccae,,,,
248,Bacteroides,Bacteroides caccae,,,,
249,Bacteroides,Bacteroides uniformis,,,,
250,Bacteroides,Bacteroides uniformis,,,,
251,Bacteroides,Bacteroides uniformis,,,,
252,Bacteroides,Bacteroides uniformis,,,,
253,Bacteroides,Bacteroides thetaiotaomicron,,,,
254,Bacteroides,Bacteroides thetaiotaomicron,,,,
255,Bacteroides,Bacteroides faecalis,"['no', 'no']","['negative', 'negative']",15-37,37
256,Bacteroides,Bacteroides sp.,,,,
257,Bacteroides,Bacteroides fragilis,,,,
258,Bacteroides,Bacteroides eggerthii,,,,
259,Bacteroides,Bacteroides kribbi,no,negative,15-40,37
260,Bacteroides,Bacteroides koreensis,no,negative,15-40,37
261,Bacteroides,Bacteroides cellulosilyticus,,,,
262,Bacteroides,Bacteroides finegoldii,,,,
263,Bacteroides,Bacteroides intestinalis,,,,
264,Bacteroides,Bacteroides sp.,,,,
265,Bacteroides,Bacteroides sp.,,,,
266,Bacteroides,Bacteroides intestinalis,,,,
267,Bacteroides,Bacteroides congonensis,,,,
268,Bacteroides,Bacteroides thetaiotaomicron,,,,
269,Bacteroides,Bacteroides sp.,,,,
270,Bacteroides,Bacteroides thetaiotaomicron,,,,
271,Bacteroides,Bacteroides sp.,,,,
272,Bacteroides,Bacteroides thetaiotaomicron,,,,
273,Bacteroides,Bacteroides sp.,,,,
274,Bacteroides,Bacteroides finegoldii,,,,
275,Phocaeicola,Phocaeicola faecicola,,,,
276,Phocaeicola,Phocaeicola sartorii,,,,
277,Phocaeicola,Phocaeicola dorei,,,,
278,Phocaeicola,Phocaeicola sp.,,,,
279,Phocaeicola,Phocaeicola sp.,,,,
280,Phocaeicola,Phocaeicola faecicola,,,,
281,Phocaeicola,Phocaeicola sartorii,,,,
282,Phocaeicola,Phocaeicola coprophilus,,,,
283,Phocaeicola,Phocaeicola coprophilus,,,,
284,Phocaeicola,Phocaeicola barnesiae,,,,
285,Phocaeicola,Phocaeicola barnesiae,,,,
286,Phocaeicola,Phocaeicola barnesiae,,,,
287,Phocaeicola,Phocaeicola barnesiae,,,,
288,Phocaeicola,Phocaeicola massiliensis,,,,
289,Phocaeicola,Phocaeicola coprocola,,,,
290,Phocaeicola,Phocaeicola coprocola,,,,
291,Phocaeicola,Phocaeicola plebeius,,,,
292,Phocaeicola,Phocaeicola plebeius,,,,
293,Phocaeicola,Phocaeicola plebeius,,,,
294,Phocaeicola,Phocaeicola plebeius,,,,
295,Phocaeicola,Phocaeicola plebeius,,,,
296,Phocaeicola,Phocaeicola dorei,,,,
297,Phocaeicola,Phocaeicola vulgatus,,,,
298,Phocaeicola,Phocaeicola vulgatus,,,,
299,Phocaeicola,Phocaeicola vulgatus,,,,
300,Phocaeicola,Phocaeicola vulgatus,,,,
301,Phocaeicola,Phocaeicola vulgatus,,,,
302,Phocaeicola,Phocaeicola dorei,,,,
303,Phocaeicola,Phocaeicola dorei,,,,
304,Phocaeicola,Phocaeicola sartorii,,,37,
305,Phocaeicola,Phocaeicola dorei,,,37,
306,Phocaeicola,Phocaeicola vulgatus,,,,
307,Phocaeicola,Phocaeicola vulgatus,,,,
308,Phocaeicola,Phocaeicola vulgatus,,,,
309,Phocaeicola,Phocaeicola fibrisolvens,,,,
310,Phocaeicola,Phocaeicola vulgatus,,,,
311,Phocaeicola,Phocaeicola abscessus,yes,negative,37,37
312,Phocaeicola,Phocaeicola sartorii,,,37,
313,Phocaeicola,Phocaeicola paurosaccharolyticus,no,negative,30,35
314,Phocaeicola,Phocaeicola coprophilus,no,negative,37,
315,Phocaeicola,Phocaeicola salanitronis,,,37,
316,Phocaeicola,Phocaeicola barnesiae,,,37,
317,Phocaeicola,Phocaeicola dorei,no,negative,37,37
318,Phocaeicola,Phocaeicola massiliensis,no,negative,37,37
319,Phocaeicola,Phocaeicola coprocola,no,negative,37,37
320,Phocaeicola,Phocaeicola plebeius,no,negative,37,37
321,Phocaeicola,Phocaeicola vulgatus,,,,
322,Phocaeicola,Phocaeicola vulgatus,,,37,
323,Phocaeicola,Phocaeicola vulgatus,,,,
324,Barnesiella,Barnesiella viscericola,,,,
325,Barnesiella,Barnesiella propionica,,,,
326,Barnesiella,Barnesiella intestinihominis,no,negative,37,37
327,Barnesiella,Barnesiella viscericola,no,negative,37,
328,Coprobacter,Coprobacter secundus subsp. similis,,,,
329,Coprobacter,Coprobacter secundus subsp. similis,,,37,
330,Coprobacter,Coprobacter secundus,,,,
331,Coprobacter,Coprobacter fastidiosus,no,negative,37,
332,Dysgonomonas,Dysgonomonas sp.,,,,
333,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,
334,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,
335,Dysgonomonas,Dysgonomonas mossii,,,,
336,Dysgonomonas,Dysgonomonas mossii,,,,
337,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,
338,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,
339,Dysgonomonas,Dysgonomonas sp.,,,,
340,Dysgonomonas,Dysgonomonas sp.,,,,
341,Dysgonomonas,Dysgonomonas sp.,,,,
342,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,
343,Dysgonomonas,Dysgonomonas oryzarvi,"['no', 'no']","['negative', 'negative']",37,
344,Dysgonomonas,Dysgonomonas oryzarvi,,,,
345,Dysgonomonas,Dysgonomonas termitidis,,,30,
346,Dysgonomonas,Dysgonomonas hofstadii,,,37,
347,Dysgonomonas,Dysgonomonas alginatilytica,,,,
348,Dysgonomonas,Dysgonomonas macrotermitis,,,37,
349,Dysgonomonas,Dysgonomonas mossii,,['negative'],37,
350,Dysgonomonas,Dysgonomonas capnocytophagoides,,,37,
351,Dysgonomonas,Dysgonomonas gadei,,,37,
352,Dysgonomonas,Dysgonomonas sp.,,,,
353,Dysgonomonas,Dysgonomonas sp.,,,,
354,Petrimonas,Petrimonas mucosa,,negative,37,45
355,Petrimonas,Petrimonas sulfuriphila,no,negative,40,38.5
356,Proteiniphilum,Proteiniphilum saccharofermentans,,negative,37,35-40
357,Proteiniphilum,Proteiniphilum acetatigenes,yes,negative,37,37
358,Duncaniella,Duncaniella freteri,,,,
359,Duncaniella,Duncaniella dubosii,,,,
360,Duncaniella,Duncaniella muris,,,,
361,Duncaniella,Duncaniella muris,,,37,
362,Muribaculum,Muribaculum caecicola,,,,
363,Muribaculum,Muribaculum gordoncarteri,,,,
364,Muribaculum,Muribaculum gordoncarteri,,['negative'],37,
365,Muribaculum,Muribaculum intestinale,,,37,
366,Muribaculum,Muribaculum intestinale,,,37,
367,Muribaculum,Muribaculum intestinale,,negative,37,
368,Sodaliphilus,Sodaliphilus pleomorphus,,,37,
369,Butyricimonas,Butyricimonas faecalis,no,negative,25-42,37
370,Butyricimonas,Butyricimonas faecihominis,,,,
371,Butyricimonas,Butyricimonas sp.,,,,
372,Butyricimonas,Butyricimonas faecihominis,,,,
373,Butyricimonas,Butyricimonas paravirosa,,,37,
374,Butyricimonas,Butyricimonas faecihominis,"['yes', 'no']","['positive', 'positive']",37,
375,Butyricimonas,Butyricimonas virosa,no,negative,37,
376,Butyricimonas,Butyricimonas synergistica,no,negative,37,
377,Odoribacter,Odoribacter lunatus,,,,
378,Odoribacter,Odoribacter splanchnicus,,,,
379,Odoribacter,Odoribacter splanchnicus,,,,
380,Odoribacter,Odoribacter splanchnicus,,,,
381,Odoribacter,Odoribacter splanchnicus,,,,
382,Odoribacter,Odoribacter splanchnicus,,,,
383,Odoribacter,Odoribacter splanchnicus,,,,
384,Odoribacter,Odoribacter denticanis,no,negative,,
385,Odoribacter,Odoribacter laneus,no,negative,37,
386,Odoribacter,Odoribacter splanchnicus,,,37,
387,Paludibacter,Paludibacter jiangxiensis,,,,
388,Paludibacter,Paludibacter propionicigenes,"['no', 'no']","['negative', 'negative']",30,30
389,Microbacter,Microbacter margulisiae,,,30,
390,Porphyromonas,Porphyromonas gingivalis,,,,
391,Porphyromonas,Porphyromonas asaccharolytica,,,,
392,Porphyromonas,Porphyromonas pogonae,,,,
393,Porphyromonas,Porphyromonas gingivalis,,,,
394,Porphyromonas,Porphyromonas gingivicanis,,,,
395,Porphyromonas,Porphyromonas uenonis,,,,
396,Porphyromonas,Porphyromonas pasteri,,,37,
397,Porphyromonas,Porphyromonas gulae,,,,
398,Porphyromonas,Porphyromonas cangingivalis,,,,
399,Porphyromonas,Porphyromonas crevioricanis,,,,
400,Porphyromonas,Porphyromonas cangingivalis,,,,
401,Porphyromonas,Porphyromonas canoris,,,,
402,Porphyromonas,Porphyromonas sp.,,,,
403,Porphyromonas,Porphyromonas crevioricanis,,,,
404,Porphyromonas,Porphyromonas sp.,,,,
405,Porphyromonas,Porphyromonas macacae,,,37,
406,Porphyromonas,Porphyromonas sp.,,,,
407,Porphyromonas,Porphyromonas sp.,,,,
408,Porphyromonas,Porphyromonas canoris,,,,
409,Porphyromonas,Porphyromonas gingivalis,,,,
410,Porphyromonas,Porphyromonas gingivalis,,,,
411,Porphyromonas,Porphyromonas gingivalis,,,,
412,Porphyromonas,Porphyromonas gingivalis,,,,
413,Porphyromonas,Porphyromonas gingivalis,,,,
414,Porphyromonas,Porphyromonas uenonis,,,,
415,Porphyromonas,Porphyromonas loveana,no,negative,,
416,Porphyromonas,Porphyromonas pogonae,,,,
417,Porphyromonas,Porphyromonas crevioricanis,,,37,
418,Porphyromonas,Porphyromonas cangingivalis,,,37,
419,Porphyromonas,Porphyromonas circumdentaria,,,37,
420,Porphyromonas,Porphyromonas gingivalis,,,,
421,Porphyromonas,Porphyromonas bennonis,,negative,37,
422,Porphyromonas,Porphyromonas somerae,,,37,
423,Porphyromonas,Porphyromonas uenonis,,,37,
424,Porphyromonas,Porphyromonas catoniae,,,37,
425,Porphyromonas,Porphyromonas endodontalis,,,37,
426,Porphyromonas,Porphyromonas levii,,,37,
427,Porphyromonas,Porphyromonas gulae,,,37,
428,Porphyromonas,Porphyromonas gingivalis,,,37,
429,Porphyromonas,Porphyromonas asaccharolytica,,['negative'],37,
430,Porphyromonas,Porphyromonas macacae,,,37,
431,Paraprevotella,Paraprevotella xylaniphila,no,negative,37,
432,Paraprevotella,Paraprevotella clara,no,negative,37,
433,Prevotella,Prevotella denticola,,,,
434,Prevotella,Prevotella bivia,,,,
435,Prevotella,Prevotella buccalis,,,,
436,Prevotella,Prevotella sp.,,,,
437,Prevotella,Prevotella amnii,,,,
438,Prevotella,Prevotella pallens,,,,
439,Prevotella,Prevotella disiens,,,,
440,Prevotella,Prevotella intermedia,,,,
441,Prevotella,Prevotella bivia,,,,
442,Prevotella,Prevotella bivia,,,,
443,Prevotella,Prevotella bivia,,,,
444,Prevotella,Prevotella bivia,,,,
445,Prevotella,Prevotella bivia,,,,
446,Prevotella,Prevotella bivia,,,,
447,Prevotella,Prevotella bivia,,,,
448,Prevotella,Prevotella bivia,,,,
449,Prevotella,Prevotella bivia,,,,
450,Prevotella,Prevotella bivia,,,,
451,Prevotella,Prevotella sp.,,,,
452,Prevotella,Prevotella bivia,,,,
453,Prevotella,Prevotella intermedia,,,,
454,Prevotella,Prevotella bivia,,,,
455,Prevotella,Prevotella bivia,,,,
456,Prevotella,Prevotella denticola,,,,
457,Prevotella,Prevotella timonensis,,,,
458,Prevotella,Prevotella melaninogenica,,,,
459,Prevotella,Prevotella nigrescens,,,,
460,Prevotella,Prevotella nigrescens,,,,
461,Prevotella,Prevotella intermedia,,,,
462,Prevotella,Prevotella intermedia,,,,
463,Prevotella,Prevotella intermedia,,,,
464,Prevotella,Prevotella nigrescens,,,,
465,Prevotella,Prevotella melaninogenica,,,,
466,Prevotella,Prevotella intermedia,,,,
467,Prevotella,Prevotella intermedia,,,,
468,Prevotella,Prevotella intermedia,,,,
469,Prevotella,Prevotella intermedia,,,,
470,Prevotella,Prevotella nigrescens,,,,
471,Prevotella,Prevotella intermedia,,,,
472,Prevotella,Prevotella nigrescens,,,,
473,Prevotella,Prevotella intermedia,,,,
474,Prevotella,Prevotella nigrescens,,,,
475,Prevotella,Prevotella buccae,,,,
476,Prevotella,Prevotella nigrescens,,,,
477,Prevotella,Prevotella dentalis,,,37,
478,Prevotella,Prevotella timonensis,,,,
479,Prevotella,Prevotella timonensis,,,,
480,Prevotella,Prevotella brevis,,,,
481,Prevotella,Prevotella enoeca,,,37,
482,Prevotella,Prevotella melaninogenica,,,,
483,Prevotella,Prevotella massiliensis,,,,
484,Prevotella,Prevotella pleuritidis,no,negative,37,
485,Prevotella,Prevotella aurantiaca,no,,37,
486,Prevotella,Prevotella colorans,"['no', 'no']","['negative', 'negative']",37,35-37
487,Prevotella,Prevotella jejuni,"['no', 'no']","['negative', 'negative']",37,37
488,Prevotella,Prevotella jejuni,,,,
489,Prevotella,Prevotella histicola,,,,
490,Prevotella,Prevotella melaninogenica,,,,
491,Prevotella,Prevotella scopos,,,37,
492,Prevotella,Prevotella fusca,,,37,
493,Prevotella,Prevotella saccharolytica,['no'],"['negative', 'negative']",37,35
494,Prevotella,Prevotella dentasini,['no'],"['negative', 'negative']",37,37
495,Prevotella,Prevotella micans,"['no', 'no']","['negative', 'negative']",37,
496,Prevotella,Prevotella falsenii,['no'],"['negative', 'negative']",37,
497,Prevotella,Prevotella amnii,['no'],"['negative', 'negative']",37,
498,Prevotella,Prevotella histicola,,,,
499,Prevotella,Prevotella histicola,no,negative,37,37
500,Prevotella,Prevotella paludivivens,,,30,
501,Prevotella,Prevotella paludivivens,no,negative,30,30
502,Prevotella,Prevotella maculosa,no,negative,37,
503,Prevotella,Prevotella timonensis,no,negative,37,37
504,Prevotella,Prevotella nanceiensis,no,negative,37,
505,Prevotella,Prevotella veroralis,,,37,
506,Prevotella,Prevotella loescheii,,,37,
507,Prevotella,Prevotella corporis,,,37,
508,Prevotella,Prevotella oris,,,37,
509,Prevotella,Prevotella pallens,,,37,
510,Prevotella,Prevotella stercorea,no,negative,37,37
511,Prevotella,Prevotella copri,no,negative,37,37
512,Prevotella,Prevotella oryzae,,,30,
