"","species","antibiotics","lincomycin","novobiocin","kanamycin","ampicillin","gentamicin","neomycin","streptomycin","chloramphenicol","rifampicin","polymyxin.b","erythromycin","bacitracin","penicillin","tetracycline","aztreonam","cefalotin","cefazolin","cefotaxime","fosfomycin","imipenem","linezolid","mezlocillin","moxifloxacin","nitrofurantoin","norfloxacin","nystatin","ofloxacin","oxacillin","penicillin.g","pipemidic.acid","ticarcillin","tunicamycin","actinomycin.d","sodium.dodecyl.sulfate","vancomycin","sodium.chloride","colistin","carbenicillin","ceftriaxone","clarithromycin","cefotaxime.sodium","tobramycin","spectinomycin","amikacin","nalidixic.acid","cycloheximide","trimethoprim","sulfamethoxazole","minocycline","cephradine","cephalexin","cefuroxime","cefoperazone","ceftazidime","oleandomycin","cephalothin","acetylspiramycin","ciprofloxacin","oxytetracycline","furazolidone","midecamycin","doxycycline","piperacillin","clindamycin","enrofloxacin","cefixime","meropenem","levofloxacin","amoxicillin","clavulanic.acid","cefoxitin","cefepime","co.trimoxazole","spiramycin.II","family","order","class","phylum","domain","NCBI.tax.ID","motility","gram.stain","growth","genus","oxygen.tolerance","PH.range","GC.content","Total.samples","soil.counts","aquatic.counts","plant.counts","optimum","n16","div","gc_percent","genome_components","chromosomes","total_seq_length","genes_nc","genes_coding","pseudogenes","total_genes"
"1","Abiotrophia defectiva","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Aerococcaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","592010.0",NA,NA,"37.0","Abiotrophia","microaerophile",NA,18.4358974358974,11.4871794871795,22.025641025641,31.4358974358974,3.94871794871795,1,4,4.41373163855277,46.5,1,1,2046826,63,1814,21,1898
"2","Abyssalbus ytuae","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Flavobacteriaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria","2926907.0",NA,NA,NA,"Abyssalbus",NA,NA,1,1,1,1,1,1,3,6.36514168294813,35,1,1,4365036,55,3614,11,3680
"3","Abyssicoccus albus","R","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","R","NR","NR","NR","NR","R","NR","NR","R","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","Staphylococcaceae","Caryophanales","Bacilli","Bacillota","Bacteria","1817405.0","no","positive","28.0","Abyssicoccus","aerobe","alkaliphile",328.5,1831,598,760,783,58,4,0.562335144618808,34,1,1,1745789,70,1705,24,1799
"4","Acetilactobacillus jinshanensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","1720083.0","no","positive","36.0","Acetilactobacillus","facultative anaerobe","acidophile",434,1550,1461,866,101,1,5,2.51943742456596,39.5,1,1,1616430,88,1503,11,1602
"5","Acetivibrio clariflavus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Oscillospiraceae","Eubacteriales","Clostridia","Bacillota","Bacteria","720554.0","no","variable","56.25","Acetivibrio","anaerobe",NA,268,811,1398,956,550,1,6,0.450561208866305,35.5,1,1,4897678,83,4006,117,4206
"6","Acetivibrio saccincola","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Oscillospiraceae","Eubacteriales","Clostridia","Bacillota","Bacteria","1677857.0","no","positive","57.5","Acetivibrio","anaerobe","alkaliphile",186,3058,991,1918,79,1,3,0,34.5,1,1,3604547,64,3143,98,3305
"7","Acetivibrio thermocellus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Oscillospiraceae","Eubacteriales","Clostridia","Bacillota","Bacteria","1094188.0",NA,NA,"56.666666666666664","Acetivibrio","anaerobe",NA,183.333333333333,1022.66666666667,243.333333333333,4,313,1,4,25.799457037747,38.8,1,1,3627924.6,72,3046,49.2,3167.2
"8","Acetoanaerobium sticklandii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Peptostreptococcaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","1511.0",NA,NA,"36.0","Acetoanaerobium","anaerobe",NA,99,1155,211,249,576,1,6,104.204962328713,33,1,1,2715461,81,2508,22,2611
"9","Acetobacter aceti","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","435.0",NA,NA,"27.5","Acetobacter","aerobe",NA,696.6,672.8,44,51.2,19.6,1,3.33333333333333,2.8988837470548,56.6666666666667,3.66666666666667,3.66666666666667,3795351.66666667,64.6666666666667,3315,135.666666666667,3515.33333333333
"10","Acetobacter orientalis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","146474.0",NA,NA,"30.0","Acetobacter",NA,NA,854,99,338,1584,313,1,5,0,52.5,2,2,3214967,75,2735,189,2999
"11","Acetobacter oryzifermentans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","1633874.0",NA,NA,NA,"Acetobacter",NA,NA,856,337,422,577,1001,1,5,0,52.25,2.5,2.5,3116926,75.5,2852.5,57.5,2985.5
"12","Acetobacter oryzoeni","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","2500548.0",NA,NA,NA,"Acetobacter",NA,NA,879,337,422,577,1001,1,5,0.500402423538188,53,4,4,3153180,73,2807,76,2956
"13","Acetobacter pasteurianus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","940265.0",NA,NA,"27.5","Acetobacter",NA,NA,336.260869565217,266.478260869565,166.782608695652,263.086956521739,210.04347826087,1,4.85714285714286,0.142972121010911,52.8214285714286,5.92857142857143,5.92857142857143,3239948.14285714,75.3571428571429,2875.42857142857,99.9285714285714,3050.71428571429
"14","Acetobacter persici","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","1236503.0",NA,NA,NA,"Acetobacter",NA,NA,1065.5,649,463,464,352,1,4,0,57,2,2,3756676,78,3162,216,3456
"15","Acetobacter pomorum","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","65959.0","no",NA,"30.0","Acetobacter","aerobe",NA,799,337,422,577,1001,1,5,2.26052355935935,52.5,3.5,3.5,3080569.5,73.5,2803,60,2936.5
"16","Acetobacter senegalensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","446692.0","yes","negative","35.0","Acetobacter","obligate aerobe",NA,973,2258,12,764,910,1,5,0,55.5,2,2,3969909,77,3471,102,3650
"17","Acetobacter tropicalis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","104102.0",NA,NA,"30.0","Acetobacter",NA,NA,964,1129.5,6.5,382.5,455.5,1,5,0,55.5,2,2,4139662,78,3570,92,3740
"18","Acetohalobium arabaticum","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Halobacteroidaceae","Halanaerobiales","Clostridia","Bacillota","Bacteria","574087.0",NA,NA,NA,"Acetohalobium","anaerobe",NA,145,1742,141,521,622,1,5,0.500402423538188,36.5,1,1,2469596,86,2304,29,2419
"19","Acetomicrobium mobile","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Synergistaceae","Synergistales","Synergistia","Synergistota","Bacteria","891968.0","no","negative","55.0","Acetomicrobium","anaerobe","alkaliphile",835,1191,411,287,932,1,2,0,47.5,1,1,2160700,57,2028,9,2094
"20","Acholeplasma hippikon","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acholeplasmataceae","Acholeplasmatales","Mollicutes","Mycoplasmatota","Bacteria","264636.0",NA,NA,NA,"Acholeplasma",NA,NA,1,1134,130,258,969,1,3,0,30.5,2,2,1465667,49,1373,4,1426
"21","Acholeplasma laidlawii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acholeplasmataceae","Acholeplasmatales","Mollicutes","Mycoplasmatota","Bacteria","2148.0",NA,NA,"37.0","Acholeplasma",NA,NA,1,178,1,192.428571428571,1.14285714285714,1,2,0,31.5,1,1,1535191,44,1410.33333333333,8,1462.33333333333
"22","Achromobacter deleyi","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","1353891.0","yes","negative","33.5","Achromobacter","aerobe",NA,716,1526,134,86,114.5,1,4,1.84536806909238,66.3333333333333,1,1,6595349.33333333,74.6666666666667,5896.33333333333,36.3333333333333,6007.33333333333
"23","Achromobacter denitrificans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","32002.0",NA,NA,"27.0","Achromobacter","aerobe",NA,43.8055555555556,1,1,1,1,1,3.83333333333333,2.56759766262264,67.25,1,1,6742759.16666667,75.6666666666667,6111.83333333333,100.666666666667,6288.16666666667
"24","Achromobacter insolitus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","217204.0",NA,"negative","32.5","Achromobacter","aerobe",NA,103.846153846154,235.615384615385,21.4615384615385,14.0769230769231,18.4615384615385,1,4,7.67008997888263,64.875,1.25,1.25,6571777,74.5,5950,74.75,6099.25
"25","Achromobacter mucicolens","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","1389922.0",NA,NA,"33.5","Achromobacter","aerobe",NA,1,110.5,121.5,177.166666666667,24.8333333333333,1,3,1.27302833658963,65.5,1,1,5950138,68,5338,68,5474
"26","Achromobacter pestifer","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","1353889.0","yes","negative","32.333333333333336","Achromobacter","aerobe",NA,1282,3051,267,171,228,1,4,0.693147180559945,66,2,2,7177303,75,6540,39,6654
"27","Achromobacter spanius","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","1389922.0",NA,"negative","32.5","Achromobacter","aerobe",NA,134.7,371.7,99.9,123.7,38,1,3.6,1.49876139004365,64.2,1,1,6467144.2,73.6,5752.6,59.6,5885.8
"28","Achromobacter xylosoxidans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","1295130.0",NA,NA,"30.0","Achromobacter","aerobe",NA,21.4852941176471,29.9852941176471,32.8970588235294,47.6323529411765,7.30882352941176,1,3.1,1.35251430266244,67.05,1.3,1.3,6635869.95,72.45,6006.05,54.35,6132.85
"29","Acidaminococcus fermentans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acidaminococcaceae","Acidaminococcales","Negativicutes","Bacillota","Bacteria","591001.0",NA,NA,"37.0","Acidaminococcus","anaerobe",NA,495,1592,960,110,516,1,6,2.81066492261705,55.5,1,1,2331478.5,82,2096,8,2186
"30","Acidaminococcus intestini","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acidaminococcaceae","Acidaminococcales","Negativicutes","Bacillota","Bacteria","1120921.0","no","negative","37.0","Acidaminococcus","anaerobe",NA,760,3341,1473,1286,635,1,3,0.318257084147406,50,1,1,2396537,65,2200,19.5,2284.5
"31","Acidibrevibacterium fodinaquatile","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","1969806.0","no","negative","37.0","Acidibrevibacterium","obligate aerobe","acidophile",1387,2413,335,752,3,1,1,0,65,4,4,4037611,56,3658,138,3852
"32","Acididesulfobacillus acetoxydans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Peptococcaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","1561005.0",NA,NA,NA,"Acididesulfobacillus",NA,NA,894,1,1,1,1,1,3,0,53.5,1,1,4520225,65,3830,115,4010
"33","Acidiferrobacter thiooxydans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acidiferrobacteraceae","Acidiferrobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","163359.0",NA,NA,"33.5","Acidiferrobacter",NA,NA,1345,1,1,1,1,1,1,0,63.5,1,1,3302271,53,2980,54,3087
"34","Acidihalobacter yilgarnensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Pseudomonadota","Bacteria","2819280.0",NA,NA,NA,"Acidihalobacter",NA,NA,1112,3498,1126,1844,1,1,1,0,59.5,1,1,3566941,54,3306,131,3491
"35","Acidimicrobium ferrooxidans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acidimicrobiaceae","Acidimicrobiales","Acidimicrobiia","Actinomycetota","Bacteria","525909.0","yes","positive","45.0","Acidimicrobium",NA,"acidophile",1473,1,1,1,1,1,2,0,68,1,1,2158157,55,1983,31,2069
"36","Acidiphilium cryptum","R","NR","NR","NR","NR","NR","R","R","R","NR","NR","R","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria",NA,"yes","negative","34.0","Acidiphilium","aerobe","acidophile",1519.5,597.75,96.25,148.75,140.75,1,2,0,67,9,9,3963080,58,3613,97,3768
