"","species","antibiotics","lincomycin","novobiocin","kanamycin","ampicillin","gentamicin","neomycin","streptomycin","chloramphenicol","rifampicin","polymyxin.b","erythromycin","bacitracin","penicillin","tetracycline","aztreonam","cefalotin","cefazolin","cefotaxime","fosfomycin","imipenem","linezolid","mezlocillin","moxifloxacin","nitrofurantoin","norfloxacin","nystatin","ofloxacin","oxacillin","penicillin.g","pipemidic.acid","ticarcillin","tunicamycin","actinomycin.d","sodium.dodecyl.sulfate","vancomycin","sodium.chloride","colistin","carbenicillin","ceftriaxone","clarithromycin","cefotaxime.sodium","tobramycin","spectinomycin","amikacin","nalidixic.acid","cycloheximide","trimethoprim","sulfamethoxazole","minocycline","cephradine","cephalexin","cefuroxime","cefoperazone","ceftazidime","oleandomycin","cephalothin","acetylspiramycin","ciprofloxacin","oxytetracycline","furazolidone","midecamycin","doxycycline","piperacillin","clindamycin","enrofloxacin","cefixime","meropenem","levofloxacin","amoxicillin","clavulanic.acid","cefoxitin","cefepime","co.trimoxazole","spiramycin.II","family","order","class","phylum","domain","NCBI.tax.ID","motility","gram.stain","growth","genus","oxygen.tolerance","PH.range","GC.content","Total.samples","soil.counts","aquatic.counts","plant.counts","optimum","n16","div","gc_percent","genome_components","chromosomes","total_seq_length","genes_nc","genes_coding","pseudogenes","total_genes"
"2564","Pediococcus inopinatus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","114090.0",NA,NA,"30.0","Pediococcus","aerobe",NA,185,210,503,757.5,331.5,1,4,0,38.5,4,4,2312041,79,2192,53,2324
"2565","Pediococcus pentosaceus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","1255.0",NA,NA,"30.0","Pediococcus","microaerophile",NA,83.975,368.8,110.4,136.2,35.6,1,5,0.996330585512419,37,2.34782608695652,2.34782608695652,1834328.7826087,73.3478260869565,1738.4347826087,32.9130434782609,1844.69565217391
"2566","Pedobacter cryoconitis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria","188932.0",NA,NA,"21.0","Pedobacter",NA,NA,1,943,1070,902,722,1,6,5.4319114199493,38.5,1,1,5950539,91,4938,18,5047
"2567","Pedobacter endophyticus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria","2789740.0",NA,NA,NA,"Pedobacter",NA,NA,1,1,1,1,1,1,3,2.54605667317925,41,1,1,5426070,63,4374,15,4452
"2568","Pedobacter ginsengisoli","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria",NA,NA,NA,NA,"Pedobacter",NA,NA,1,1,1,1,1,1,5,2.34682818109489,37.5,1,1,5373360,73,4452,25,4550
"2569","Pedobacter heparinus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria","485917.0",NA,NA,"30.0","Pedobacter",NA,NA,421,239,1166,812,913,1,3,0,42,1,1,5167383,58,4222,5,4285
"2570","Pedobacter mucosus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria","2895286.0",NA,NA,NA,"Pedobacter",NA,NA,1,1,1,1,1,1,3,12.7302833658963,35,1,1,4929029,60,4073,13,4146
"2571","Pedobacter riviphilus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria",NA,NA,NA,NA,"Pedobacter",NA,NA,1,1,1,1,1,1,3,0.636514168294813,38.5,1,1,5825361,65,4789,97,4951
"2572","Pedobacter roseus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria",NA,"no","negative","30.0","Pedobacter","aerobe",NA,459,1,1,1,1,1,4,1.12467028923762,39,1,1,6329746,71,5206,31,5308
"2573","Pedobacter schmidteae","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria","2201271.0",NA,NA,NA,"Pedobacter",NA,NA,1,1,1,1,1,1,4,7.31035688004451,41,1,1,6198518,75,4933,3,5011
