Melissococcus,Melissococcus plutonius,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,anaerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissococcus,Melissococcus plutonius,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,anaerobe,30.0,940190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus subsp. halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,23236.0,861.0,1678.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus subsp. halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,,,,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragenococcus,Tetragenococcus halophilus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,microaerophile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
