GENUS,PHYLUM,ORDER
Rhodoferax,Pseudomonadota,Burkholderiales
Serpentinimonas,Pseudomonadota,Burkholderiales
Simplicispira,Pseudomonadota,Burkholderiales
Variovorax,Pseudomonadota,Burkholderiales
Verminephrobacter,Pseudomonadota,Burkholderiales
Collimonas,Pseudomonadota,Burkholderiales
Glaciimonas,Pseudomonadota,Burkholderiales
Herbaspirillum,Pseudomonadota,Burkholderiales
Herminiimonas,Pseudomonadota,Burkholderiales
Janthinobacterium,Pseudomonadota,Burkholderiales
Duganella,Pseudomonadota,Burkholderiales
Massilia,Pseudomonadota,Burkholderiales
Pseudoduganella,Pseudomonadota,Burkholderiales
Noviherbaspirillum,Pseudomonadota,Burkholderiales
Oxalobacter,Pseudomonadota,Burkholderiales
Aquincola,Pseudomonadota,Burkholderiales
Ideonella,Pseudomonadota,Burkholderiales
Inhella,Pseudomonadota,Burkholderiales
Methylibium,Pseudomonadota,Burkholderiales
Mitsuaria,Pseudomonadota,Burkholderiales
Roseateles,Pseudomonadota,Burkholderiales
Rubrivivax,Pseudomonadota,Burkholderiales
Schlegelella,Pseudomonadota,Burkholderiales
Sphaerotilus,Pseudomonadota,Burkholderiales
Sutterella,Pseudomonadota,Burkholderiales
Aquaspirillum,Pseudomonadota,Neisseriales
Aquitalea,Pseudomonadota,Neisseriales
Chitinibacter,Pseudomonadota,Neisseriales
Chitiniphilus,Pseudomonadota,Neisseriales
Chromobacterium,Pseudomonadota,Neisseriales
Iodobacter,Pseudomonadota,Neisseriales
Deefgea,Pseudomonadota,Neisseriales
Jeongeupia,Pseudomonadota,Neisseriales
Laribacter,Pseudomonadota,Neisseriales
Pseudogulbenkiania,Pseudomonadota,Neisseriales
Vogesella,Pseudomonadota,Neisseriales
Alysiella,Pseudomonadota,Neisseriales
