parent,node,PHYLUM,ORDER,GENUS
Cytophagales,Fulvivirga,,,Fulvivirga
Cytophagales,Adhaeribacter,,,Adhaeribacter
Cytophagales,Hymenobacter,,,Hymenobacter
Cytophagales,Nibribacter,,,Nibribacter
Cytophagales,Pontibacter,,,Pontibacter
Cytophagales,Rufibacter,,,Rufibacter
Cytophagales,Mangrovivirga,,,Mangrovivirga
Cytophagales,Marivirga,,,Marivirga
Cytophagales,Persicobacter,,,Persicobacter
Cytophagales,Reichenbachiella,,,Reichenbachiella
Cytophagales,Arcticibacterium,,,Arcticibacterium
Cytophagales,Dyadobacter,,,Dyadobacter
Cytophagales,Emticicia,,,Emticicia
Cytophagales,Fibrella,,,Fibrella
Cytophagales,Larkinella,,,Larkinella
Cytophagales,Leadbetterella,,,Leadbetterella
Cytophagales,Marinilongibacter,,,Marinilongibacter
Cytophagales,Runella,,,Runella
Bacteroidota,Flavobacteriales,,Flavobacteriales,
Flavobacteriales,Blattabacterium,,,Blattabacterium
Flavobacteriales,Crocinitomix,,,Crocinitomix
Flavobacteriales,Fluviicola,,,Fluviicola
Flavobacteriales,Abyssalbus,,,Abyssalbus
Flavobacteriales,Actibacter,,,Actibacter
Flavobacteriales,Aegicerativicinus,,,Aegicerativicinus
Flavobacteriales,Aequorivita,,,Aequorivita
Flavobacteriales,Aggregatimonas,,,Aggregatimonas
Flavobacteriales,Algibacter,,,Algibacter
Flavobacteriales,Constantimarinum,,,Constantimarinum
Flavobacteriales,Amniculibacterium,,,Amniculibacterium
Flavobacteriales,Antarcticibacterium,,,Antarcticibacterium
Flavobacteriales,Aquimarina,,,Aquimarina
Flavobacteriales,Arenibacter,,,Arenibacter
Flavobacteriales,Aureibaculum,,,Aureibaculum
Flavobacteriales,Bizionia,,,Bizionia
Flavobacteriales,Capnocytophaga,,,Capnocytophaga
Flavobacteriales,Cellulophaga,,,Cellulophaga
Flavobacteriales,Changchengzhania,,,Changchengzhania
Flavobacteriales,Costertonia,,,Costertonia
Flavobacteriales,Croceibacter,,,Croceibacter
Flavobacteriales,Dokdonia,,,Dokdonia
Flavobacteriales,Euzebyella,,,Euzebyella
Flavobacteriales,Flagellimonas,,,Flagellimonas
Flavobacteriales,Flavivirga,,,Flavivirga
Flavobacteriales,Flavobacterium,,,Flavobacterium
Flavobacteriales,Formosa,,,Formosa
Flavobacteriales,Galbibacter,,,Galbibacter
Flavobacteriales,Gramella,,,Gramella
Flavobacteriales,Kordia,,,Kordia
Flavobacteriales,Lacinutrix,,,Lacinutrix
Flavobacteriales,Leeuwenhoekiella,,,Leeuwenhoekiella
Flavobacteriales,Lutibacter,,,Lutibacter
Flavobacteriales,Maribacter,,,Maribacter
Flavobacteriales,Mariniflexile,,,Mariniflexile
Flavobacteriales,Marixanthomonas,,,Marixanthomonas
Flavobacteriales,Mesoflavibacter,,,Mesoflavibacter
Flavobacteriales,Muricauda,,,Muricauda
Flavobacteriales,Muriicola,,,Muriicola
Flavobacteriales,Myroides,,,Myroides
Flavobacteriales,Nonlabens,,,Nonlabens
Flavobacteriales,Oceanihabitans,,,Oceanihabitans
Flavobacteriales,Olleya,,,Olleya
Flavobacteriales,Polaribacter,,,Polaribacter
Flavobacteriales,Psychroflexus,,,Psychroflexus
Flavobacteriales,Psychroserpens,,,Psychroserpens
Flavobacteriales,Pukyongia,,,Pukyongia
Flavobacteriales,Rasiella,,,Rasiella
Flavobacteriales,Robiginitalea,,,Robiginitalea
Flavobacteriales,Sabulilitoribacter,,,Sabulilitoribacter
Flavobacteriales,Salegentibacter,,,Salegentibacter
Flavobacteriales,Salinimicrobium,,,Salinimicrobium
Flavobacteriales,Sediminicola,,,Sediminicola
Flavobacteriales,Seonamhaeicola,,,Seonamhaeicola
Flavobacteriales,Siansivirga,,,Siansivirga
Flavobacteriales,Sinomicrobium,,,Sinomicrobium
Flavobacteriales,Tamlana,,,Tamlana
Flavobacteriales,Tenacibaculum,,,Tenacibaculum
